Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
F01,Agent navigation,As an agent handed the repo URL I follow AGENTS.md and load one matching skill,AGENTS.md classifies use/install/edit/review; first matching map row; no-skill row exists; cwd rule distinguishes library vs product,Unfamiliar+review collision; two jobs; using skill on product repo,T01-T04,pass,0,P2,Map puts review and quality-loop above learn-codebase,2026-09-24
F02,Human install docs,As a person I install from README or QUICKSTART,Commands are npx skills add Thingscorp/skills with --list/-y --skill --all; no install.sh,User runs ./tools/install.sh; gh skill vs npx,T05-T07,pass,0,P2,QUICKSTART exists,2026-09-24
F03,CLI list surface,As a user I list exported skills without installing,npx skills add Thingscorp/skills --list -y prints 15 names, --list plus --json rejected,T08,pass,1,P1,Waived live rerun this pass; last run in prior session listed 15,2026-09-24
F04,Skill pack,As an agent I load skills/<name>/SKILL.md,15 folders each with SKILL.md; name matches folder,Missing SKILL.md; extra folder,T09,pass,0,,15 folders on disk,2026-09-24
F05,Frontmatter schema,As a catalog indexer I parse name+description; portability under metadata,name kebab=folder; description contains use this when; portability not top-level,Unknown top-level keys rejected by strict parsers,T10-T12,fail,5,P1,learn-codebase grill-execute-clear to-spec kill-context-bloat steering-push-vs-point still top-level portability,2026-09-24
F06,Catalog lockstep,As an installer I get the same 15 names everywhere,plugin.json marketplace.json skills.sh.json AGENTS README llms.txt list the same 15,New skill forgotten in one catalog,T13-T15,pass,0,,plugin and marketplace both list 15,2026-09-24
F07,Validator,As a maintainer I run python3 tools/validate.py,Exit 0 when catalogs+landmines+names hold; exit 1 on drift,Missing phrase; phantom file present,T16,pass,1,P2,Does not yet reject top-level portability,2026-09-24
F08,CI gate,As a reviewer I see validate.yml on push/PR,Workflow runs python3 tools/validate.py,No Python on runner,T17,pass,0,,File exists .github/workflows/validate.yml,2026-09-24
F09,ADR ledger,As a later agent I read docs/adr for binding calls,NNNN-slug.md; Nygard status; no number collision,Two files numbered 0001,T18,pass,0,P2,Current tree has one 0001 and 0002-0005,2026-09-24
F10,Landmine phrases,As a drafter I cannot soften pinned claims,Phrases in LANDMINES appear in some SKILL.md; validator checks them,Phrase only in docs not skills,T19,pass,0,,Validator phrase list is the executable contract,2026-09-24
F11,Review skill,As an agent I review a named plan or diff,BLOCKED on missing scope; empty report valid; ADR capture test,Review vs quality-loop collision,T20-T21,pass,0,,AGENTS now routes product audit to quality-loop,2026-09-24
F12,Quality-loop skill,As an agent I inventory a shipped product from code,Discover from implementation not docs; one spreadsheet,This library has no screens/APIs,T22,pass,0,,This run is the skill applied to itself,2026-09-24
F13,Phantom paths,As an agent I do not follow files that do not exist,install.sh HARNESS-MATRIX CONFIG-SCHEMA absent; docs say so,Stale cite in a skill body,T23-T24,pass,0,,session-hygiene and compact now say the matrix does not exist,2026-09-24
F14,skills.sh public page,As a stranger I open skills.sh/Thingscorp/skills,Page exists after real npx skills add telemetry,Badge 404 before telemetry,T25,fail,1,P1,Waived in-repo; owner must run npx skills add Thingscorp/skills --all once,2026-09-24
F15,GitHub About and topics,As a searcher I see harness-neutral description and topics,About matches README; topics include agent-skills skill-md,Files cannot PATCH About,T26,fail,1,P1,Waived in-repo; owner edits Settings > General,2026-09-24
F16,Machine index,As an LLM crawler I read llms.txt,llms.txt lists all 15 skills plus start docs,Missing new doc,T27,pass,0,,llms.txt present at root,2026-09-24
F17,Authoring path,As a contributor I add a skill via AUTHORING.md then validate,Checklist names schema catalogs validator,New skill not in plugin.json,T28,pass,0,,AUTHORING.md exists,2026-09-24
